Ω√¡°,M2,M2_index
1986. 01,43133.6,1
1986. 02,43492.4,1.008318341
1986. 03,44587.1,1.033697628
1986. 04,45188.7,1.047644991
1986. 05,46197.5,1.071032791
1986. 06,47043.5,1.090646271
1986. 07,47960.7,1.111910436
1986. 08,49027.6,1.136645214
1986. 09,50743.6,1.176428585
1986. 10,51406.5,1.191797114
1986. 11,52342.2,1.213490179
1986. 12,53753.5,1.246209452
1987. 01,54519.6,1.263970547
1987. 02,55509.3,1.286915537
1987. 03,57398,1.330702747
1987. 04,58917.5,1.365930504
1987. 05,60628.4,1.405595638
1987. 06,61865.2,1.43426934
1987. 07,62808.5,1.456138602
1987. 08,63965.3,1.482957601
1987. 09,66092.2,1.532267188
1987. 10,67420.9,1.56307148
1987. 11,68045.2,1.577545116
1987. 12,71136.9,1.649222416
1988. 01,73489.6,1.703766901
1988. 02,74175.1,1.719659384
1988. 03,76071.9,1.763634382
1988. 04,77444.2,1.795449487
1988. 05,78183.3,1.812584621
1988. 06,80297.8,1.861606729
1988. 07,81603.6,1.891880112
1988. 08,84337.4,1.955259937
1988. 09,86817.5,2.012758035
1988. 10,88234,2.045597863
1988. 11,89852.7,2.083125452
1988. 12,92669.9,2.148438804
1989. 01,94284.8,2.185878294
1989. 02,95118.4,2.205204295
1989. 03,97305.7,2.255914183
1989. 04,98349.8,2.28012037
1989. 05,99437.9,2.305346644
1989. 06,100113.6,2.321011926
1989. 07,101644.9,2.356513252
1989. 08,102240.2,2.370314558
1989. 09,106334.8,2.465242873
1989. 10,107859.1,2.500581913
1989. 11,109237,2.532526847
1989. 12,113008.3,2.619959846
1990. 01,118596,2.749503867
1990. 02,119931.5,2.780465809
1990. 03,123086.4,2.853608324
1990. 04,125338.5,2.90582052
1990. 05,127286.2,2.950975574
1990. 06,129180.1,2.994883339
1990. 07,130497.6,3.025427973
1990. 08,129478.5,3.00180138
1990. 09,136810.7,3.17178951
1990. 10,138782.9,3.217512566
1990. 11,141226,3.274152865
1990. 12,146975.8,3.407454977
1991. 01,148618.1,3.445529703
1991. 02,151009.2,3.500964445
1991. 03,153518.8,3.559146466
1991. 04,154504.5,3.58199872
1991. 05,156693.9,3.632757294
1991. 06,158123.5,3.665900829
1991. 07,161152.3,3.736119869
1991. 08,161615.4,3.746856279
1991. 09,166662.2,3.863860193
1991. 10,170278,3.947688113
1991. 11,172453,3.99811284
1991. 12,174698.8,4.050178979
1992. 01,178532.2,4.139051691
1992. 02,180826.9,4.192251516
1992. 03,183523.9,4.254778178
1992. 04,186533.2,4.324545134
1992. 05,189145.8,4.385115084
1992. 06,190123,4.407770277
1992. 07,193756.1,4.491999277
1992. 08,196169.1,4.547941744
1992. 09,198859.4,4.610313074
1992. 10,204227.2,4.734758981
1992. 11,208974.1,4.844810078
1992. 12,212578.9,4.928382978
1993. 01,217736.1,5.047946381
1993. 02,220984.4,5.123254261
1993. 03,224510,5.204991005
1993. 04,226220.5,5.244646865
1993. 05,229583.1,5.322604652
1993. 06,233044.8,5.402859951
1993. 07,236505.7,5.483096704
1993. 08,240278,5.570552887
1993. 09,244481.3,5.66800128
1993. 10,247130.4,5.729417438
1993. 11,249747.2,5.79008476
1993. 12,253598.5,5.879372461
1994. 01,255917.9,5.933144926
1994. 02,261715.6,6.067557542
1994. 03,266964.9,6.189256172
1994. 04,273108.1,6.331678784
1994. 05,275995.7,6.398624274
1994. 06,279562.2,6.481309235
1994. 07,285738.6,6.624501549
1994. 08,289497.7,6.711651705
1994. 09,294828.9,6.835249087
1994. 10,296573.4,6.875693195
1994. 11,302643.5,7.016421073
1994. 12,307168.9,7.121336962
1995. 01,311847.9,7.229813881
1995. 02,312391.7,7.242421222
1995. 03,316700.1,7.34230623
1995. 04,324014.6,7.511884007
1995. 05,328385.4,7.613215683
1995. 06,332585.5,7.710589888
